Year,Month,Utility_Number,Name,State,Status,AMR_Res,AMR_Com,AMR_Ind,AMR_Tran,AMR_Total,AMI_Res,AMI_Com,AMI_Ind,AMI_Tran,AMI_Total,Non_Res,Non_Com,Non_Ind,Non_Trans,Non_Total,Total_Res,Total_Com,Total_Ind,Total_Trans,Total_Total,ES_Res,ES_Com,ES_Ind,ES_Tran,ES_Total
2016,1,213,Alaska Electric Light&Power Co,AK,Final,"13,300","1,520",157,0,"14,977",0,0,0,0,0,"1,579",591,63,0,"2,233","14,879","2,111",220,0,"17,210",0,0,0,0,0
2016,1,219,Alaska Power and Telephone Co,AK,Final,"5,380","2,259",.,.,"7,639",0,0,.,.,0,0,0,.,.,0,"5,380","2,259",.,.,"7,639",0,0,.,.,0
2016,1,221,"Alaska Village Elec Coop, Inc",AK,Final,"7,811","3,076",.,.,"10,887",.,.,.,.,0,.,.,.,.,0,"7,811","3,076",.,.,"10,887",.,.,.,.,0
2016,1,599,Anchorage Municipal Light and Power,AK,Final,"24,112","6,344",0,0,"30,456",.,.,.,.,0,0,31,0,0,31,"24,112","6,375",0,0,"30,487",.,.,.,.,0
2016,1,3522,Chugach Electric Assn Inc,AK,Final,"60,899","8,446",.,.,"69,345","11,567",701,1,.,"12,269",268,504,6,.,778,"72,734","9,651",7,.,"82,392","10,592","1,465",617,.,"12,674"
2016,1,7353,Golden Valley Elec Assn Inc,AK,Final,"38,596","6,481",499,.,"45,576",.,.,.,.,0,.,.,.,.,0,"38,596","6,481",499,.,"45,576",.,.,.,.,0
2016,1,10210,Ketchikan Public Utilities,AK,Final,0,0,0,0,0,"4,354",386,0,0,"4,740","2,068",892,15,0,"2,975","6,422","1,278",15,0,"7,715","6,181",546,0,0,"6,727"
2016,1,10433,Kodiak Electric Assn Inc,AK,Final,"4,664",990,107,0,"5,761",.,.,.,.,0,114,60,0,0,174,"4,778","1,050",107,0,"5,935",.,.,.,.,0
2016,1,10451,Kotzebue Electric Assn Inc,AK,Final,73,6,0,0,79,985,73,0,0,"1,058",79,52,0,0,131,"1,137",131,0,0,"1,268",836,0,0,0,836
2016,1,11824,Matanuska Electric Assn Inc,AK,Final,"32,062","2,949",0,0,"35,011","21,309","1,197",0,0,"22,506","4,422",0,0,0,"4,422","57,793","4,146",0,0,"61,939","18,230","9,593",0,0,"27,823"
2016,1,19558,Homer Electric Assn Inc,AK,Final,"26,274","3,269",15,.,"29,558",71,11,0,.,82,88,793,9,.,890,"26,433","4,073",24,.,"30,530",2,0,0,.,2
2016,1,195,Alabama Power Co,AL,Final,.,.,.,.,0,"1,251,299","174,783","6,063",.,"1,432,145",.,.,.,.,0,"1,251,299","174,783","6,063",.,"1,432,145","1,642,051","1,109,741","2,694,617",.,"5,446,409"
2016,1,4958,Decatur Utilities,AL,Final,0,0,0,0,0,225,18,0,0,243,0,0,0,0,0,225,18,0,0,243,364,17,0,0,381
2016,1,9094,City of Huntsville - (AL),AL,Final,0,0,0,0,0,0,10,6,0,16,0,0,0,0,0,0,10,6,0,16,0,"1,631","21,901",0,"23,533"
2016,1,9739,Joe Wheeler Elec Member Corp,AL,Final,.,.,.,.,0,"34,769","8,017",19,.,"42,805",.,.,.,.,0,"34,769","8,017",19,.,"42,805","47,997","21,050","66,322",.,"135,369"
2016,1,17252,Singing River Elec Pwr Assn,AL,Final,306,18,.,.,324,.,.,.,.,0,.,.,.,.,0,306,18,.,.,324,.,.,.,.,0
2016,1,18642,Tennessee Valley Authority,AL,Final,.,.,.,.,0,.,2,29,.,31,.,.,.,.,0,.,2,29,.,31,.,"36,950","403,081",.,"440,031"
2016,1,814,Entergy Arkansas Inc,AR,Final,"17,550",707,203,.,"18,460",.,.,684,.,684,"587,556","93,001","28,940",1,"709,498","605,106","93,708","29,827",1,"728,642",.,.,42,.,42
2016,1,817,Arkansas Valley Elec Coop Corp,AR,Final,.,.,.,.,0,"50,148","3,663",24,.,"53,835",.,.,.,.,0,"50,148","3,663",24,.,"53,835","65,834","12,171","17,467",.,"95,472"
2016,1,3093,Carroll Electric Coop Corp - (AR),AR,Final,.,.,.,.,0,"76,723","5,358",36,.,"82,117",0,0,3,.,3,"76,723","5,358",39,.,"82,120","121,324","27,892","9,591",.,"158,807"
2016,1,6342,First Electric Coop Corp,AR,Final,0,0,0,.,0,"84,445","5,645",909,.,"90,999",0,0,.,.,0,"84,445","5,645",909,.,"90,999","120,211","15,234","5,062",.,"140,507"
2016,1,12681,Mississippi County Electric Co,AR,Final,"3,187",612,701,.,"4,500",.,.,.,.,0,173,73,50,.,296,"3,360",685,751,.,"4,796",.,.,.,.,0
2016,1,13718,City of North Little Rock - (AR),AR,Final,45,6,0,0,51,"31,906","3,883",125,1,"35,915","1,356","1,022",17,0,"2,395","33,307","4,911",142,1,"38,361","24,267","13,707","8,044",23,"46,041"
2016,1,14063,Oklahoma Gas & Electric Co,AR,Final,0,0,0,0,0,"57,150","10,825",435,0,"68,410",0,0,0,0,0,"57,150","10,825",435,0,"68,410","72,917","78,780","118,076",0,"269,772"
2016,1,17698,Southwestern Electric Power Co,AR,Final,"98,071","6,851",161,0,"105,083",0,0,0,0,0,718,"10,914",439,0,"12,071","98,789","17,765",600,0,"117,154",0,0,0,0,0
2016,1,803,Arizona Public Service Co,AZ,Final,288,36,.,.,324,"1,059,065","121,253","3,578",.,"1,183,896",.,.,.,.,0,"1,059,353","121,289","3,578",.,"1,184,220","969,196","722,384","45,729",.,"1,737,309"
2016,1,12919,Morenci Water and Electric,AZ,Final,"2,264",326,.,.,"2,590",.,.,.,.,0,5,98,4,.,107,"2,269",424,4,.,"2,697",.,.,.,.,0
2016,1,13314,Navajo Tribal Utility Authority,AZ,Final,.,.,.,.,0,"25,275","3,153",1,.,"28,429",.,.,.,.,0,"25,275","3,153",1,.,"28,429","18,539","20,333",4,.,"38,876"
2016,1,16572,Salt River Project,AZ,Final,3,0,0,.,3,"792,439","92,268","3,071",6,"887,784","151,910",331,1,.,"152,242","944,352","92,599","3,072",6,"1,040,029","686,401","524,743","38,874",437,"1,250,455"
2016,1,19189,Trico Electric Cooperative Inc,AZ,Final,590,19,0,.,609,"41,368","2,345",33,.,"43,746",3,0,0,.,3,"41,961","2,364",33,.,"44,358","35,228","15,258","3,278",.,"53,765"
2016,1,19728,"UNS Electric, Inc",AZ,Final,"76,052","6,155",0,0,"82,207",27,97,27,0,151,"7,625","4,153",8,0,"11,786","83,704","10,405",35,0,"94,144",49,"1,736","6,672",0,"8,457"
2016,1,21538,"Mohave Electric Cooperative, I",AZ,Final,.,.,.,.,0,"33,647","3,949",0,0,"37,596","2,493",161,20,0,"2,674","36,140","4,110",20,0,"40,270","24,828","13,649",0,0,"38,477"
2016,1,24211,Tucson Electric Power Co,AZ,Final,"382,929","38,816",350,0,"422,095",0,1,52,0,53,"3,669",809,440,0,"4,918","386,598","39,626",842,0,"427,066",0,3,"20,448",0,"20,451"
2016,1,25866,Ak-Chin Electric Utility Authority,AZ,Final,291,119,29,0,439,.,.,.,.,0,.,.,.,.,0,291,119,29,0,439,.,.,.,.,0
2016,1,4390,City of Corona - (CA),CA,Final,836,480,8,0,"1,324",0,0,0,0,0,0,0,0,0,0,836,480,8,0,"1,324",0,0,0,0,0
2016,1,9216,Imperial Irrigation District,CA,Final,"45,548","5,386",534,0,"51,468","32,173","3,613",64,0,"35,850","51,549","11,823",880,0,"64,252","129,270","20,822","1,478",0,"151,570","19,816","45,048",36,0,"64,900"
2016,1,11208,Los Angeles Department of Water & Power,CA,Final,"332,492","62,829","6,113",41,"401,475","2,752","4,904",756,35,"8,447","1,064,015","77,777","8,076",61,"1,149,929","1,399,259","145,510","14,945",137,"1,559,851","14,116","370,917","33,152","7,236","425,421"
2016,1,12745,Modesto Irrigation District,CA,Final,.,.,.,.,0,"96,704","21,169",154,0,"118,027",.,.,.,.,0,"96,704","21,169",154,0,"118,027","73,937","60,705","55,338",0,"189,980"
2016,1,14328,Pacific Gas & Electric Co,CA,Final,0,0,0,0,0,"4,577,937","559,350","1,294",0,"5,138,581","96,443","61,928",0,0,"158,371","4,674,380","621,278","1,294",0,"5,296,952","2,453,866","2,349,603","1,149,209",0,"5,952,678"
2016,1,14354,PacifiCorp,CA,Final,"4,991","1,092",93,0,"6,176",.,.,.,.,0,"30,892","6,631","2,052",0,"39,575","35,883","7,723","2,145",0,"45,751",.,.,.,.,0
2016,1,14534,City of Pasadena - (CA),CA,Final,"54,749","8,408",.,.,"63,157",.,.,.,.,0,250,67,.,.,317,"54,999","8,475",.,.,"63,474",.,.,.,.,0
2016,1,16534,Sacramento Municipal Util Dist,CA,Final,.,.,.,.,0,"547,603","67,055","2,572",38,"617,268",428,11,20,.,459,"548,031","67,066","2,592",38,"617,727","441,180","277,288","120,298","2,264","841,030"
2016,1,16609,San Diego Gas & Electric Co,CA,Final,8,124,39,0,171,"1,263,964","147,243",617,278,"1,412,102","2,250",16,0,0,"2,266","1,266,222","147,383",656,278,"1,414,539","669,575","627,599","286,923","4,983","1,589,080"
2016,1,17609,Southern California Edison Co,CA,Final,"4,947","13,732","3,778",32,"22,489","4,401,990","593,230","45,710",11,"5,040,941","19,886","3,587","1,147",0,"24,620","4,426,823","610,549","50,635",43,"5,088,050","2,299,410","1,968,484","117,330",60,"4,385,284"
2016,1,17612,Bear Valley Electric Service,CA,Final,"22,398","1,386",0,0,"23,784",0,0,0,0,0,67,169,7,0,243,"22,465","1,555",7,0,"24,027",0,0,0,0,0
